assay,num_ground_truth_mutants,raw_ground_truth_rows,invalid_ground_truth_score_rows,invalid_ground_truth_mutant_rows,duplicate_ground_truth_mutants_collapsed,num_predictions,num_selected,num_unique_legal_selected,num_illegal_predictions,num_duplicate_predictions,illegal_predictions_within_budget,duplicate_predictions_within_budget,NMS@40,Recall@40
HUMAN_DOMAINOME_P16989_PF00313_84,1633,1633,0,0,0,1633,40,40,0,0,0,0,0.8755316718759802,0.025
HUMAN_DOMAINOME_P20265_PF00157_262,1429,1429,0,0,0,1429,40,40,0,0,0,0,0.8100763605429374,0.05
HUMAN_DOMAINOME_P22914_PF00030_96,1402,1402,0,0,0,1402,40,40,0,0,0,0,0.7387885211889266,0.0
MAVEDB_urn_mavedb_00000074-a-1,4323,4323,0,0,0,4323,40,40,0,0,0,0,0.7905469313624138,0.0
MAVEDB_urn_mavedb_00000077-a-1,2986,2986,0,0,0,2986,40,40,0,0,0,0,0.7678852066962761,0.0
MAVEDB_urn_mavedb_00000088-a-1,9462,9462,0,0,0,9462,40,40,0,0,0,0,0.48342337921663436,0.0
MAVEDB_urn_mavedb_00000092-a-1,10716,10716,0,0,0,10716,40,40,0,0,0,0,0.201104084603964,0.0
MAVEDB_urn_mavedb_00000110-a-1,4004,4004,0,0,0,4004,40,40,0,0,0,0,0.7637975887798155,0.0
MAVEDB_urn_mavedb_00000110-a-2,4003,4003,0,0,0,4003,40,40,0,0,0,0,0.6366874223735673,0.0
MAVEDB_urn_mavedb_00000110-a-3,3994,3994,0,0,0,3994,40,40,0,0,0,0,0.8378351697096019,0.025
MAVEDB_urn_mavedb_00000115-a-1,3342,3342,0,0,0,3342,40,40,0,0,0,0,0.795277784568928,0.0
MAVEDB_urn_mavedb_00000115-a-2,3264,3264,0,0,0,3264,40,40,0,0,0,0,0.6956618115698816,0.0
MAVEDB_urn_mavedb_00000115-a-4,3082,3082,0,0,0,3082,40,40,0,0,0,0,0.8552586534318225,0.025
MAVEDB_urn_mavedb_00000115-a-6,3301,3301,0,0,0,3301,40,40,0,0,0,0,0.7479788097841206,0.0
MAVEDB_urn_mavedb_00000660-a-1,8215,8215,0,0,0,8215,40,40,0,0,0,0,0.7896757536700665,0.0
MAVEDB_urn_mavedb_00000674-a-1,2320,2320,0,0,0,2320,40,40,0,0,0,0,0.8432053688211203,0.0
MAVEDB_urn_mavedb_00000674-b-1,2320,2320,0,0,0,2320,40,40,0,0,0,0,0.9381111528144036,0.075
MAVEDB_urn_mavedb_00000692-a-1,1154,1154,0,0,0,1154,40,40,0,0,0,0,0.8545355217215747,0.025
MAVEDB_urn_mavedb_00000694-a-1,1338,1338,0,0,0,1338,40,40,0,0,0,0,0.91239662842287,0.075
MAVEDB_urn_mavedb_00000749-a-1,1271,1271,0,0,0,1271,40,40,0,0,0,0,0.8583780781578835,0.05
MAVEDB_urn_mavedb_00000751-a-1,1172,1172,0,0,0,1172,40,40,0,0,0,0,0.7286134132265023,0.025
MAVEDB_urn_mavedb_00000864-a-1,1122,1122,0,0,0,1122,40,40,0,0,0,0,0.9550487312617912,0.05
MAVEDB_urn_mavedb_00000865-a-1,1093,1093,0,0,0,1093,40,40,0,0,0,0,0.8358674880198244,0.025
MAVEDB_urn_mavedb_00001002-a-1,1250,1250,0,0,0,1250,40,40,0,0,0,0,0.935233300192478,0.025
MAVEDB_urn_mavedb_00001087-a-1,1291,1291,0,0,0,1291,40,40,0,0,0,0,0.7174845275879703,0.0
MAVEDB_urn_mavedb_00001212-a-2,4541,4541,0,0,0,4541,40,40,0,0,0,0,0.783789471310231,0.0
MAVEDB_urn_mavedb_00001212-a-3,4541,4541,0,0,0,4541,40,40,0,0,0,0,0.8186218689855617,0.0
MAVEDB_urn_mavedb_00001212-a-4,4541,4541,0,0,0,4541,40,40,0,0,0,0,0.7800943279477002,0.025
MAVEDB_urn_mavedb_00001217-a-1,2632,2632,0,0,0,2632,40,40,0,0,0,0,0.7869095639811199,0.0
MAVEDB_urn_mavedb_00001217-a-2,2605,2605,0,0,0,2605,40,40,0,0,0,0,0.8618735559260902,0.05
MAVEDB_urn_mavedb_00001217-a-4,2655,2655,0,0,0,2655,40,40,0,0,0,0,0.7914346568322423,0.0
MAVEDB_urn_mavedb_00001218-a-2,4802,4802,0,0,0,4802,40,40,0,0,0,0,0.4657512898707679,0.0
