assay,num_ground_truth_mutants,raw_ground_truth_rows,invalid_ground_truth_score_rows,invalid_ground_truth_mutant_rows,duplicate_ground_truth_mutants_collapsed,num_predictions,num_selected,num_unique_legal_selected,num_illegal_predictions,num_duplicate_predictions,illegal_predictions_within_budget,duplicate_predictions_within_budget,spearman,NDCG,NMS@5,Recall@5
MEGASCALE_processed_dataset2_3_1ZHC.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.29650165016501656,0.937236673183354,0.784674928463393,0.0
MEGASCALE_processed_dataset2_3_2AMI.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.6761236123612362,0.9747761510660685,0.9433275781271457,0.2
MEGASCALE_processed_dataset2_3_2D1U.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.3481548154815482,0.9674379371811351,0.910327874598915,0.0
MEGASCALE_processed_dataset2_3_2JN4.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,-0.12130813081308132,0.8661450088785956,0.68833778724177,0.0
MEGASCALE_processed_dataset2_3_2JT1.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.33750975097509756,0.9452438629835623,0.9086322121462678,0.0
MEGASCALE_processed_dataset2_3_2K52.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.39459945994599466,0.9142147238272367,0.9503579984470306,0.2
MEGASCALE_processed_dataset2_3_2K5N.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.11660366036603663,0.8740466916207832,0.9194487434020551,0.2
MEGASCALE_processed_dataset2_3_2KCM.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.5241524152415242,0.9640041555286581,1.0,0.2
MEGASCALE_processed_dataset2_3_2KT8.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.7860666066606662,0.9702282798861945,1.0,0.4
MEGASCALE_processed_dataset2_3_2KVS.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,-0.11515151515151517,0.86948516534051,0.6337313064198616,0.0
MEGASCALE_processed_dataset2_3_2KXD.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.7037863786378639,0.9462503039119449,0.5608036759188185,0.2
MEGASCALE_processed_dataset2_3_2LSS.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.5170957095709572,0.959518579439652,0.7650873879565543,0.0
MEGASCALE_processed_dataset2_3_2LXK.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,-0.0005640564056405642,0.8832182224581122,1.0,0.4
MEGASCALE_processed_dataset2_3_2M0X.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.601968196819682,0.9752408908784577,1.0,0.4
MEGASCALE_processed_dataset2_3_2M0Y.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.4691269126912692,0.9257526915170837,0.6182720915897766,0.0
MEGASCALE_processed_dataset2_3_2M2J.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.3982238223822383,0.9117588786721703,0.8401476994371732,0.2
MEGASCALE_processed_dataset2_3_2M8U.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.11522352235223525,0.8421515702358623,0.5812340141798352,0.0
MEGASCALE_processed_dataset2_3_2MA4.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.5082148214821482,0.939717056631462,0.9095097769559239,0.4
MEGASCALE_processed_dataset2_3_2O2W.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.3228562856285629,0.9334985792131192,0.8667758291611837,0.2
MEGASCALE_processed_dataset2_3_2PFU.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.5777497749774978,0.9683957723720426,0.9742920647306432,0.4
MEGASCALE_processed_dataset2_3_2ROT.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.7220162016201621,0.9548757859774084,0.9628760185324076,0.2
MEGASCALE_processed_dataset2_3_2RRT.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.57987398739874,0.9588807719462927,1.0,0.6
MEGASCALE_processed_dataset2_3_2RU9.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,-0.013393339333933395,0.9064861896184672,0.783126435856699,0.0
MEGASCALE_processed_dataset2_3_3DKM.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.08273627362736274,0.9097914444201625,0.6382964153602269,0.0
MEGASCALE_processed_dataset2_3_3L1X.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.4093609360936094,0.9576490250487338,0.8692866472000031,0.0
MEGASCALE_processed_dataset2_3_3ZGK.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.33359735973597365,0.9225449976520261,0.8250311955443843,0.0
PROTEINGYM_A4_HUMAN_Seuma_2022,100,100,0,0,0,100,5,5,0,0,0,0,0.4657065706570658,0.8975461289887114,0.7079237494851222,0.0
PROTEINGYM_CAPSD_AAV2S_Sinai_2021,100,100,0,0,0,100,5,5,0,0,0,0,0.28507650765076514,0.8735657137866341,0.6521163959010062,0.0
PROTEINGYM_GCN4_YEAST_Staller_2018,100,100,0,0,0,100,5,5,0,0,0,0,0.4250225022502251,0.8269050114173269,0.4997947889902811,0.0
PROTEINGYM_GFP_AEQVI_Sarkisyan_2016,100,100,0,0,0,100,5,5,0,0,0,0,0.25964596459645967,0.8340205136089625,0.9318250144634999,0.0
PROTEINGYM_GRB2_HUMAN_Faure_2021,100,100,0,0,0,100,5,5,0,0,0,0,0.6098289828982899,0.9554289646471227,0.9694648227519135,0.4
PROTEINGYM_PABP_YEAST_Melamed_2013,100,100,0,0,0,100,5,5,0,0,0,0,0.7370777077707772,0.9221961117979773,0.7644714276239829,0.2
PROTEINGYM_PHOT_CHLRE_Chen_2023,100,100,0,0,0,100,5,5,0,0,0,0,0.7411941194119414,0.9563769824235404,1.0,0.2
PROTEINGYM_Q6WV12_9MAXI_Somermeyer_2022,100,100,0,0,0,100,5,5,0,0,0,0,-0.010477173444180189,0.8050826128146054,0.5995716588160444,0.0
PROTEINGYM_Q8WTC7_9CNID_Somermeyer_2022,100,100,0,0,0,100,5,5,0,0,0,0,0.09172627334922015,0.8453081676584788,0.5428881111936169,0.0
PROTEINGYM_RASK_HUMAN_Weng_2022_abundance,100,100,0,0,0,100,5,5,0,0,0,0,0.3051665166516652,0.8946623413084379,0.8168362164244818,0.2
PROTEINGYM_RASK_HUMAN_Weng_2022_binding-DARPin_K55,100,100,0,0,0,100,5,5,0,0,0,0,0.6462166216621663,0.957793108530013,1.0,0.2
PROTEINGYM_YAP1_HUMAN_Araya_2012,100,100,0,0,0,100,5,5,0,0,0,0,0.5976477647764777,0.7867965481609746,0.4740916308577644,0.0
TARGET_DMS_TrpB_FLIP2_active_site_by_position,100,100,0,0,0,100,5,5,0,0,0,0,0.35349534953495354,0.9035745582092166,0.7901675638489066,0.4
