assay,num_ground_truth_mutants,raw_ground_truth_rows,invalid_ground_truth_score_rows,invalid_ground_truth_mutant_rows,duplicate_ground_truth_mutants_collapsed,num_predictions,num_selected,num_unique_legal_selected,num_illegal_predictions,num_duplicate_predictions,illegal_predictions_within_budget,duplicate_predictions_within_budget,spearman,NDCG,NMS@5,Recall@5
MEGASCALE_processed_dataset2_3_1ZHC.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.28612061206120615,0.9398637270198186,0.784674928463393,0.0
MEGASCALE_processed_dataset2_3_2AMI.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.595943594359436,0.9721720550410028,0.9433275781271457,0.2
MEGASCALE_processed_dataset2_3_2D1U.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.3873147314731474,0.9693118499346278,0.910327874598915,0.0
MEGASCALE_processed_dataset2_3_2JN4.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.14970297029702972,0.9110563695135957,0.7492694244678274,0.0
MEGASCALE_processed_dataset2_3_2JT1.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.38211821182118216,0.9516815209332331,0.9086322121462678,0.0
MEGASCALE_processed_dataset2_3_2K52.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.4325472547254726,0.8859148654169229,0.795618442698003,0.0
MEGASCALE_processed_dataset2_3_2K5N.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.1298649864986499,0.8572534559712017,0.8937594691895735,0.2
MEGASCALE_processed_dataset2_3_2KCM.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.630843084308431,0.971830290576098,1.0,0.4
MEGASCALE_processed_dataset2_3_2KT8.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.8076687668766878,0.9763034334760176,1.0,0.6
MEGASCALE_processed_dataset2_3_2KVS.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.653861386138614,0.9605794923325751,1.0,0.4
MEGASCALE_processed_dataset2_3_2KXD.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.6782718271827184,0.9439641715457987,0.557657401621621,0.0
MEGASCALE_processed_dataset2_3_2LSS.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.49634563456345643,0.9609870905838865,1.0,0.2
MEGASCALE_processed_dataset2_3_2LXK.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.17112511251125115,0.891351162612423,1.0,0.4
MEGASCALE_processed_dataset2_3_2M0X.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.6671227122712272,0.9656828965416546,1.0,0.4
MEGASCALE_processed_dataset2_3_2M0Y.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.40548454845484555,0.9239204097923756,0.6182720915897766,0.0
MEGASCALE_processed_dataset2_3_2M2J.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.6122892289228924,0.923533769619686,0.8401476994371732,0.2
MEGASCALE_processed_dataset2_3_2M8U.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.01036903690369037,0.822461641843129,0.5852306232155621,0.0
MEGASCALE_processed_dataset2_3_2MA4.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.6425802580258027,0.9493485157032433,0.9095097769559239,0.4
MEGASCALE_processed_dataset2_3_2O2W.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.3128352835283529,0.923572090118307,0.8667758291611837,0.2
MEGASCALE_processed_dataset2_3_2PFU.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.5716171617161717,0.9650315430934886,1.0,0.4
MEGASCALE_processed_dataset2_3_2ROT.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.8259585958595861,0.9742155763962221,0.9628760185324076,0.2
MEGASCALE_processed_dataset2_3_2RRT.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.5891629162916293,0.9539605719869095,1.0,0.6
MEGASCALE_processed_dataset2_3_2RU9.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.2841524152415242,0.9142523552145516,0.783126435856699,0.0
MEGASCALE_processed_dataset2_3_3DKM.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.19325532553255328,0.9233286825887768,0.6793594248515349,0.0
MEGASCALE_processed_dataset2_3_3L1X.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.44868886888688875,0.9648051565923262,0.8692866472000031,0.0
MEGASCALE_processed_dataset2_3_3ZGK.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.423978397839784,0.9405677482043,0.870411161431506,0.2
