assay,num_ground_truth_mutants,raw_ground_truth_rows,invalid_ground_truth_score_rows,invalid_ground_truth_mutant_rows,duplicate_ground_truth_mutants_collapsed,num_predictions,num_selected,num_unique_legal_selected,num_illegal_predictions,num_duplicate_predictions,illegal_predictions_within_budget,duplicate_predictions_within_budget,spearman,NDCG,NMS@5,Recall@5
MEGASCALE_processed_dataset2_3_1ZHC.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,-0.0023762376237623766,0.9015821298992294,0.6429009517026932,0.0
MEGASCALE_processed_dataset2_3_2AMI.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.6370837083708372,0.9692653508816862,0.9433275781271457,0.2
MEGASCALE_processed_dataset2_3_2D1U.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.16880888088808885,0.9522132972932376,0.910327874598915,0.0
MEGASCALE_processed_dataset2_3_2JN4.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,-0.301974197419742,0.8934521224330544,0.68833778724177,0.0
MEGASCALE_processed_dataset2_3_2JT1.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,-0.18339033903390342,0.921524108066525,0.9016913914285212,0.0
MEGASCALE_processed_dataset2_3_2K52.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.34435043504350443,0.880557735147166,0.9503579984470306,0.2
MEGASCALE_processed_dataset2_3_2K5N.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.21110111011101113,0.8942553771694396,0.9194487434020551,0.2
MEGASCALE_processed_dataset2_3_2KCM.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.3742694269426943,0.9510858923032041,1.0,0.2
MEGASCALE_processed_dataset2_3_2KT8.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.7511071107110713,0.9648378380881822,1.0,0.2
MEGASCALE_processed_dataset2_3_2KVS.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,-0.0016801680168016804,0.858091763853571,0.670540073919118,0.0
