assay,num_ground_truth_mutants,raw_ground_truth_rows,invalid_ground_truth_score_rows,invalid_ground_truth_mutant_rows,duplicate_ground_truth_mutants_collapsed,num_predictions,num_selected,num_unique_legal_selected,num_illegal_predictions,num_duplicate_predictions,illegal_predictions_within_budget,duplicate_predictions_within_budget,spearman,NDCG,NMS@5,Recall@5
MEGASCALE_processed_dataset2_3_2AMI.pdb_protein_stability|T3_anchor_successor_ranking|0001,38,38,0,0,0,38,5,5,0,0,0,0,0.6743626217310427,0.9548166296803517,0.8575465361519246,0.4
MEGASCALE_processed_dataset2_3_2D1U.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.8315789473684209,0.9805059382946724,1.0,0.8
MEGASCALE_processed_dataset2_3_2JN4.pdb_protein_stability|T3_anchor_successor_ranking|0001,38,38,0,0,0,38,5,5,0,0,0,0,0.27169274537695587,0.9447937700913034,0.857640381617843,0.0
MEGASCALE_processed_dataset2_3_2JT1.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,-0.3666666666666666,0.9407224039773632,0.9023644878753535,0.4
MEGASCALE_processed_dataset2_3_2K52.pdb_protein_stability|T3_anchor_successor_ranking|0001,73,73,0,0,0,73,5,5,0,0,0,0,0.4708132790324572,0.9416535617464648,0.7092587324517902,0.6
MEGASCALE_processed_dataset2_3_2K5N.pdb_protein_stability|T3_anchor_successor_ranking|0001,36,36,0,0,0,36,5,5,0,0,0,0,0.5897039897039897,0.9406929851037289,1.0,0.4
MEGASCALE_processed_dataset2_3_2KCM.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.5035087719298245,0.9391771014752072,1.0,0.6
MEGASCALE_processed_dataset2_3_2KT8.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.475438596491228,0.9799170515724321,1.0,0.6
MEGASCALE_processed_dataset2_3_2KVS.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.08596491228070174,0.8757834422555532,0.9646990992411861,0.6
MEGASCALE_processed_dataset2_3_2KXD.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.463157894736842,0.9429977399264197,1.0,0.6
MEGASCALE_processed_dataset2_3_2LSS.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.6017543859649122,0.9936152109270081,1.0,0.8
MEGASCALE_processed_dataset2_3_2LXK.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,-0.012280701754385963,0.7415873114852791,0.47499986519423193,0.0
MEGASCALE_processed_dataset2_3_2M0X.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.8666666666666665,0.9757549380016478,1.0,0.6
MEGASCALE_processed_dataset2_3_2M0Y.pdb_protein_stability|T3_anchor_successor_ranking|0001,38,38,0,0,0,38,5,5,0,0,0,0,0.062260641208009615,0.6723427180382937,0.5478088702949517,0.2
MEGASCALE_processed_dataset2_3_2M2J.pdb_protein_stability|T3_anchor_successor_ranking|0001,38,38,0,0,0,38,5,5,0,0,0,0,-0.038406827880512084,0.9256395925795604,0.8434228865589405,0.2
MEGASCALE_processed_dataset2_3_2M8U.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,-0.2842105263157894,0.7273832419946895,0.5011009221309051,0.0
MEGASCALE_processed_dataset2_3_2MA4.pdb_protein_stability|T3_anchor_successor_ranking|0001,38,38,0,0,0,38,5,5,0,0,0,0,0.06444906444906444,0.7943020706333217,0.5381669153822377,0.0
MEGASCALE_processed_dataset2_3_2O2W.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.3807017543859648,0.974540078484184,0.9919099896927671,0.2
MEGASCALE_processed_dataset2_3_2PFU.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.857894736842105,0.9265693316956775,1.0,0.6
MEGASCALE_processed_dataset2_3_2ROT.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.5964912280701753,0.9765861539516828,1.0,0.6
MEGASCALE_processed_dataset2_3_2RRT.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.5210526315789472,0.9356805544772218,1.0,0.8
MEGASCALE_processed_dataset2_3_2RU9.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.31403508771929817,0.8742903486779539,0.788618438220273,0.6
MEGASCALE_processed_dataset2_3_3DKM.pdb_protein_stability|T3_anchor_successor_ranking|0001,56,56,0,0,0,56,5,5,0,0,0,0,-0.11503759398496241,0.8265008921608119,0.3802250732159981,0.0
MEGASCALE_processed_dataset2_3_3L1X.pdb_protein_stability|T3_anchor_successor_ranking|0001,38,38,0,0,0,38,5,5,0,0,0,0,0.7115658168289746,0.9644529875740708,1.0,0.6
MEGASCALE_processed_dataset2_3_3ZGK.pdb_protein_stability|T3_anchor_successor_ranking|0001,19,19,0,0,0,19,5,5,0,0,0,0,0.8684210526315788,0.9822181381301371,1.0,0.8
PROTEINGYM_A4_HUMAN_Seuma_2022|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.37128112811281133,0.9178854163459371,0.700130122237797,0.0
PROTEINGYM_CAPSD_AAV2S_Sinai_2021|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.5184038403840385,0.9000554361515211,0.7020497533226294,0.0
PROTEINGYM_D7PM05_CLYGR_Somermeyer_2022|T3_anchor_successor_ranking|0001,31,31,0,0,0,31,5,5,0,0,0,0,-0.051230338980582595,0.8477561933298923,0.838687236796274,0.0
PROTEINGYM_DLG4_HUMAN_Faure_2021|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.324956495649565,0.9400409320253175,0.8129646514151454,0.0
PROTEINGYM_GCN4_YEAST_Staller_2018|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.2206780678067807,0.8343077986117834,0.9862490674485899,0.2
PROTEINGYM_GFP_AEQVI_Sarkisyan_2016|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.21473747374737479,0.8981405421219637,0.9385479414666907,0.0
PROTEINGYM_GRB2_HUMAN_Faure_2021|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.7144794479447946,0.9579279651853161,0.8357458553517756,0.0
PROTEINGYM_HIS7_YEAST_Pokusaeva_2019|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.35651955227256177,0.9601207292866987,0.8409059081682211,0.2
PROTEINGYM_PABP_YEAST_Melamed_2013|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.3440994422440998,0.8598801179932871,0.5127457937920149,0.0
PROTEINGYM_PHOT_CHLRE_Chen_2023|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.6992139213921393,0.9712361071238897,1.0,0.2
PROTEINGYM_Q6WV12_9MAXI_Somermeyer_2022|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,-0.0613861386138614,0.7741582233836103,0.2816601512803136,0.0
PROTEINGYM_Q8WTC7_9CNID_Somermeyer_2022|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.11515151515151517,0.8660898259277144,0.8500170776068644,0.2
PROTEINGYM_RASK_HUMAN_Weng_2022_abundance|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.33392139213921396,0.8493410821723855,0.44892879219754805,0.0
PROTEINGYM_RASK_HUMAN_Weng_2022_binding-DARPin_K55|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.37486948694869493,0.9287814372986982,0.6186071361038061,0.0
PROTEINGYM_SPG1_STRSG_Olson_2014|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.45277742644162156,0.9815356452141367,1.0,0.6
PROTEINGYM_YAP1_HUMAN_Araya_2012|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.5705970597059707,0.8466454570802188,0.9718406412129753,0.2
TARGET_DMS_TrpB_FLIP2_active_site_by_position|T3_anchor_successor_ranking|0001,100,100,0,0,0,100,5,5,0,0,0,0,0.31608760876087616,0.8385530864089092,0.7155398107524875,0.4
